Best parameters set found on development set:

{'min_samples_leaf': 9, 'min_samples_split': 42}

Grid scores on development set:
MSE: 0.01899441340782123

Accuracy Score: 98.10055865921787%

F1 Score: 0.8937499999999999

              precision    recall  f1-score   support

           0       0.99      0.99      0.99      1626
           1       0.92      0.87      0.89       164

   micro avg       0.98      0.98      0.98      1790
   macro avg       0.95      0.93      0.94      1790
weighted avg       0.98      0.98      0.98      1790


