Best parameters set found on development set:

{'min_samples_leaf': 1, 'min_samples_split': 63}

Grid scores on development set:
0.674 (+/-0.088) for {'min_samples_leaf': 8, 'min_samples_split': 69}
0.659 (+/-0.058) for {'min_samples_leaf': 9, 'min_samples_split': 40}
0.655 (+/-0.064) for {'min_samples_leaf': 9, 'min_samples_split': 41}
0.653 (+/-0.063) for {'min_samples_leaf': 9, 'min_samples_split': 42}
0.655 (+/-0.071) for {'min_samples_leaf': 9, 'min_samples_split': 43}
0.657 (+/-0.070) for {'min_samples_leaf': 9, 'min_samples_split': 44}
0.656 (+/-0.068) for {'min_samples_leaf': 9, 'min_samples_split': 45}
0.658 (+/-0.072) for {'min_samples_leaf': 9, 'min_samples_split': 46}
0.658 (+/-0.072) for {'min_samples_leaf': 9, 'min_samples_split': 47}
0.660 (+/-0.076) for {'min_samples_leaf': 9, 'min_samples_split': 48}
0.665 (+/-0.076) for {'min_samples_leaf': 9, 'min_samples_split': 49}
0.666 (+/-0.073) for {'min_samples_leaf': 9, 'min_samples_split': 50}
0.666 (+/-0.073) for {'min_samples_leaf': 9, 'min_samples_split': 51}
0.666 (+/-0.074) for {'min_samples_leaf': 9, 'min_samples_split': 52}
0.666 (+/-0.074) for {'min_samples_leaf': 9, 'min_samples_split': 53}
0.668 (+/-0.068) for {'min_samples_leaf': 9, 'min_samples_split': 54}
0.668 (+/-0.068) for {'min_samples_leaf': 9, 'min_samples_split': 55}
0.666 (+/-0.076) for {'min_samples_leaf': 9, 'min_samples_split': 56}
0.668 (+/-0.075) for {'min_samples_leaf': 9, 'min_samples_split': 57}
0.665 (+/-0.069) for {'min_samples_leaf': 9, 'min_samples_split': 58}
0.664 (+/-0.069) for {'min_samples_leaf': 9, 'min_samples_split': 59}
0.664 (+/-0.069) for {'min_samples_leaf': 9, 'min_samples_split': 60}
0.664 (+/-0.069) for {'min_samples_leaf': 9, 'min_samples_split': 61}
0.663 (+/-0.069) for {'min_samples_leaf': 9, 'min_samples_split': 62}
0.665 (+/-0.073) for {'min_samples_leaf': 9, 'min_samples_split': 63}
0.666 (+/-0.071) for {'min_samples_leaf': 9, 'min_samples_split': 64}
0.666 (+/-0.072) for {'min_samples_leaf': 9, 'min_samples_split': 65}
0.667 (+/-0.075) for {'min_samples_leaf': 9, 'min_samples_split': 66}
0.667 (+/-0.075) for {'min_samples_leaf': 9, 'min_samples_split': 67}
0.672 (+/-0.075) for {'min_samples_leaf': 9, 'min_samples_split': 68}
0.671 (+/-0.078) for {'min_samples_leaf': 9, 'min_samples_split': 69}

Detailed classification report:

The model is trained on the full development set.
The scores are computed on the full evaluation set.

Train Time:  0.041572519000000696

Test Time:  0.0005733159999987691

Final Performance on Test Set
MSE: 0.12080536912751678

Accuracy Score: 87.91946308724832%

F1 Score: 0.6896551724137931

              precision    recall  f1-score   support

           0       0.92      0.93      0.93       477
           1       0.71      0.67      0.69       119

   micro avg       0.88      0.88      0.88       596
   macro avg       0.81      0.80      0.81       596
weighted avg       0.88      0.88      0.88       596


